B;ANCHO DE PECHO DELANTERO  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  7/8 ;;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  3/8 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15      ;;15  1/2 ;;16      ;;16  1/2 ;;17  1/4 ;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6  9/16;;7  1/16;;7  9/16;;8  1/16;;8 13/16;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7  5/16;;7  9/16;;7 13/16;;8  1/16;;8  5/16;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  5/8 ;;27  1/8 ;;27  5/8 ;;28  1/8 ;;28  5/8 ;;;;;;;;;;;;;;;;;;;
I;ANCHO DE PECHO ESPALDA EN SISA;;P;CRITICA;  1/4 ;  3/8 ;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  5/8 ;;;;;;;;;;;;;;;;;;;
J;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;10  1/4 ;;10  3/4 ;;11  1/4 ;;11  3/4 ;;12  1/2 ;;;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;9  1/16;;;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICA;;;7      ;;7  1/2 ;;8      ;;8  1/2 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;
M;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;
N;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  9/16;;1 11/16;;1 13/16;;1 15/16;;2  1/16;;;;;;;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;7  5/8 ;;;;;;;;;;;;;;;;;;;
P;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  3/8 ;;14  1/8 ;;14  7/8 ;;15 11/16;;17  1/8 ;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  1/8 ;;13 13/16;;14  9/16;;15  5/16;;16  1/4 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO CINTA;;C;CRITICA;;;25  3/4 ;;26  1/2 ;;27  3/16;;27 15/16;;28 11/16;;;;;;;;;;;;;;;;;;;
S;ALTO DE CUELLO CINTA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  3/4 ;;14  1/16;;14  7/16;;14  3/4 ;;15  1/8 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
