E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;5 /16;12 1/4;;13    ;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;  1/2 ;5 /16;12 3/4;;13 5/8;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA;  1/2 ;5 /16;25 1/4;;27    ;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  1/2 ;5 /16;27 5/8;;29 3/8;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;9 3/8;;9 5/8;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;7 1/4;;7 1/2;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;9 3/8;;9 5/8;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;4 3/4;;4 7/8;;;;;;;;;;;;;;;;;;;;;;;
M;ALTO DE CUELLO;;P;CRITICA;;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO CUELLO DE CUELLO;;P;CRITICA;;;27 3/4;;28 1/2;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE TAPETE DE ESCOTE;;P;CRITICA;;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE TAPETE DE ESCOTE;;P;CRITICA;;;18 3/4;;19    ;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE BANDA DE SISA;;C;CRITICA;;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE BANDA DE SISA;;C;CRITICA;  1/2 ;5 /16;23 1/4;;24 1/2;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
