C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;1.00;1.00;47.1;;47.7;;48.3;;49.1;;50.4;;51.7;;53.1;;54.6;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICA;;;15.5;;15.9;;16.3;;16.7;;17.1;;17.6;;18.0;;18.6;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA ;;P;CRITICA;1.00;1.00;41.3;;42.3;;43.3;;44.3;;45.6;;46.9;;48.2;;49.5;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;0.80;1.00;20.9;;21.6;;22.3;;23.0;;23.6;;24.2;;24.8;;25.7;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;49.8;;51.8;;53.8;;55.8;;57.8;;59.8;;61.8;;64.3;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;1.00;1.00;49.0;;51.0;;53.0;;55.0;;57.0;;59.0;;61.0;;63.5;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;0.80;0.70;68.5;;69.3;;70.0;;70.8;;71.8;;72.8;;73.8;;75.0;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;15.7;;15.9;;16.1;;16.4;;16.9;;17.4;;17.9;;18.5;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;15.6;;15.8;;16.0;;16.2;;16.6;;17.0;;17.4;;17.8;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;9.3;;9.4;;9.4;;9.5;;9.5;;9.6;;9.6;;9.7;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;1.00;1.00;44.9;;45.6;;46.3;;47.1;;48.4;;49.7;;51.1;;52.6;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICA;;;12.7;;13.1;;13.5;;13.9;;14.3;;14.8;;15.2;;15.8;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;1.00;1.00;41.6;;42.4;;43.3;;44.2;;45.4;;46.7;;48.0;;49.4;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;0.80;1.00;18.2;;19.0;;19.7;;20.4;;21.0;;21.6;;22.3;;23.2;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;0.80;0.70;65.7;;66.5;;67.2;;68.0;;69.0;;70.0;;71.0;;72.2;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;1.00;0.70;25.5;;26.2;;26.8;;27.4;;28.1;;28.7;;29.3;;30.1;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;1.00;1.00;39.6;;40.6;;41.6;;42.6;;43.6;;44.8;;45.8;;47.0;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;1.00;1.00;35.7;;36.7;;37.7;;38.7;;39.7;;40.8;;41.8;;43.1;;;;;;;;;;;;
V;LARGO DE CUELLO  EN BORDE;;C;CRITICA;;;38.3;;38.7;;39.0;;39.5;;40.1;;40.8;;41.5;;42.2;;;;;;;;;;;;
X;ALTO DE CUELLO;;C;CRITICA;;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;5.7;;;;;;;;;;;;
Y;LARGO DE TAPETE;;C;CRITICA;;;32.6;;32.8;;33.0;;33.3;;33.8;;34.3;;34.9;;35.4;;;;;;;;;;;;
Z;ALTO DE TAPETE;;C;CRITICA;;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;2.9;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
