J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICAL;  1/4 ;  1/4 ;;;12  5/16;;12 13/16;;13  5/16;;13 15/16;;14 11/16;;15  1/16;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICAL;;;;;7      ;;7  1/2 ;;8      ;;8  7/16;;9      ;;9  5/16;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICAL;  5/16;  1/4 ;;;28  1/8 ;;28  5/8 ;;29  1/8 ;;29  3/4 ;;30  3/8 ;;30  3/4 ;;;;;;;;;;;;;
M;ANCHO DE CUELLO EN CENTRO;;C;CRITICAL;;;;;17  3/4 ;;18  1/2 ;;19  1/8 ;;19 11/16;;20  9/16;;20 15/16;;;;;;;;;;;;;
N;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;18  1/8 ;;18  7/8 ;;19  7/16;;20  1/16;;20 15/16;;21  1/4 ;;;;;;;;;;;;;
O;ALTO DE CUELLO;;C;CRITICAL;;;;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;1  9/16;;;;;;;;;;;;;
P;LARGO DE TAPETE;;C;CRITICAL;;;;;13  1/4 ;;13  1/2 ;;13 13/16;;14  1/16;;14  7/16;;14  1/2 ;;;;;;;;;;;;;
Q;ALTO DE TAPETE;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;
R;LARGO DE SISA EN BORDE;;C;CRITICAL;;;;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;20      ;;20  3/4 ;;;;;;;;;;;;;
S;LARGO DE SISA EN CENTRO;;C;CRITICAL;;;;;15      ;;16      ;;17      ;;18      ;;19  1/4 ;;20      ;;;;;;;;;;;;;
T;ALTO DE SISA;;C;CRITICAL;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
