C;ANCHO DE HOMBRO ESPALDA(MITAD);;P;CRITICAL;  5/16;  3/8 ;8      ;;8  1/4 ;;8  1/2 ;;8 13/16;;9  3/16;;9  3/8 ;;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICAL;;;6  1/2 ;;6  3/4 ;;7      ;;7  1/8 ;;7  3/8 ;;7  3/4 ;;;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA (MITAD);;P;CRITICAL;  5/16;  3/8 ;7  5/16;;7  9/16;;7 13/16;;8  1/8 ;;8  1/2 ;;8 11/16;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICAL;;;7  3/4 ;;8      ;;8  7/16;;8  3/4 ;;9  1/8 ;;9  5/16;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA(MITAD);;P;CRITICAL;  5/16;  3/8 ;9  9/16;;10  1/16;;10  9/16;;11  3/16;;12  1/16;;12  9/16;;;;;;;;;;;;;;;;;
G1;ANCHO DE PECHO DELANTERO;;P;CRITICAL;  5/16;  3/8 ;17  5/8 ;;18  5/8 ;;19  5/8 ;;20  7/8 ;;22  5/8 ;;23  5/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA(MISTAD);;P;CRITICAL;  3/8 ;  3/8 ;11  5/8 ;;12  1/8 ;;12  5/8 ;;13  1/4 ;;14  1/8 ;;14  5/8 ;;;;;;;;;;;;;;;;;
H1;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;19  9/16;;20  9/16;;21  9/16;;22 13/16;;24  1/2 ;;25  1/2 ;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;25  1/2 ;;26      ;;26  1/2 ;;27  1/8 ;;27  3/4 ;;28  1/8 ;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICAL;;;4  3/16;;4  1/4 ;;4  3/8 ;;4  9/16;;4 13/16;;4 15/16;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;6 11/16;;6 15/16;;7  3/16;;7  7/16;;7 11/16;;7  3/4 ;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;3  5/16;;3  9/16;;3 11/16;;3 13/16;;4  1/16;;4  3/16;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;14  1/16;;14  9/16;;15  1/16;;15 11/16;;16  7/16;;16 13/16;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICAL;;;5  5/16;;5  9/16;;5 13/16;;5 15/16;;6  3/16;;6  9/16;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15  1/8 ;;15  7/8 ;;16  1/4 ;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICAL;;;6  3/8 ;;6 11/16;;7  1/8 ;;7  3/8 ;;7 13/16;;8      ;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;24 13/16;;25  5/16;;25 13/16;;26  7/16;;27  1/16;;27  7/16;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;8  5/16;;8  9/16;;8 13/16;;9  1/8 ;;9  5/16;;9  7/16;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;12 15/16;;13 11/16;;14  7/16;;15  1/4 ;;16  1/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;11 11/16;;12  7/16;;13  3/16;;13 15/16;;15      ;;15  7/8 ;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;18      ;;18  3/4 ;;19  5/16;;19  7/8 ;;20 11/16;;21  1/16;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;17  5/8 ;;18  3/8 ;;18 15/16;;19  1/2 ;;20  5/16;;20 11/16;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO ;;C;CRITICAL;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICAL;;;13  3/4 ;;14      ;;14  1/4 ;;14  1/2 ;;14 13/16;;14 15/16;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICAL;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
