;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO Y ESPALDA SUPERIOR;;P;CRITICA;  7/8 ;  5/16;17  9/16;;18  1/16;;18  9/16;;19  1/16;;19  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE HOMBRO DELANTERO SUPERIOR E INFERIOR;;P;CRITICA;  1/4 ;  1/4 ;24 15/16;;25 15/16;;27  3/16;;28 11/16;;30 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE PECHO DELANTERO Y ESPALDA SUPERIOR EN SISA;;P;CRITICA;  3/8 ;  3/8 ;23  1/8 ;;24  1/8 ;;25  3/8 ;;26  7/8 ;;28  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO Y ESPALDA SUPERIOR E INFERIOR;;P;CRITICA;  3/8 ;  3/8 ;7  7/8 ;;8  1/4 ;;8  5/8 ;;9  1/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO INFERIOR EN DELANTERO SUPERIOR E INFERIOR;;P;CRITICA; 3/8; 3/8;19 13/16;;20 13/16;;22  1/16;;23  9/16;;25  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  3/4 ;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  5/16;;6  9/16;;6 13/16;;7  1/16;;7  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;LARGO DE DELANTERO Y ESPALDA INFERIOR;;P;CRITICA;  7/8 ;  5/16;22  1/4 ;;22  1/4 ;;22  1/4 ;;22  1/4 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;ANCHO DE FALDON DELANTERO Y ESPALDA IFERIOR;;P;CRITICA;  3/8 ;  3/8 ;22      ;;23      ;;24  1/4 ;;25  3/4 ;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ABERTURA LATERAL DELANTERO Y ESPALDA INFERIOR;;P;CRITICA;;;4  1/16;;4  1/16;;4  1/16;;4  1/16;;4  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE DELANTERO EN PARTE BAJO DE ABERTURA DE BOLSILLO;;P;CRITICA;;;22      ;;23      ;;24  1/4 ;;25  3/4 ;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO SUPERIOR DE DELANTERO INFERIOR;;P;CRITICA;;;13  3/4 ;;14  3/4 ;;16      ;;17  1/2 ;;19  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO SUPERIOR DE ESPALDA INFERIOR;;P;CRITICA;;;19 11/16;;20 11/16;;21 15/16;;23  7/16;;25  7/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE BOLSILLO EN DELANTERO INFERIOR;;P;CRITICA;;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE BOLSIILO INFERIOR  LADO SUPERIOR;;C;CRITICA;;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE BOLSILLO SUPERIOR E INFERIOR;;C;CRITICA;;;11 15/16;;11 15/16;;11 15/16;;11 15/16;;11 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE BOLSILLO SUPERIOR E INFERIOR;;C;CRITICA;;;7  9/16;;7  9/16;;7  9/16;;7  9/16;;7  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ABERTURA DE BOLSILLO;;C;CRITICA;;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE PUÑO TELA;;C;CRITICA;;;14  3/8 ;;15  1/8 ;;15  7/8 ;;16  7/8 ;;18  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE PUÑO TELA;;C;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;LARGO DE CUELLO TELA;;C;CRITICA;;;17  1/4 ;;17  3/4 ;;18  3/8 ;;18  7/8 ;;19  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO TELA;;C;CRITICA;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE BOLSILLO SUPERIOR  LADO SUPERIOR;;C;CRITICA;;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
