O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;15  3/16;;15 11/16;;16  3/16;;16 13/16;;17  1/2 ;;17 15/16;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICA;  5/16;  3/8 ;6  7/8 ;;7  1/4 ;;7  3/4 ;;8  1/8 ;;8  5/8 ;;8  7/8 ;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;28 15/16;;29  7/16;;29 15/16;;30  9/16;;31  1/8 ;;31  9/16;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;8 13/16;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;13 13/16;;14  3/4 ;;15  1/2 ;;16  1/4 ;;17  1/4 ;;18      ;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  1/4 ;;13      ;;13  3/4 ;;14  1/2 ;;15  1/2 ;;16  1/4 ;;;;;;;;;;;;;;;;
U;"ANCHO DE MANGA A 3"" DE CABEZA DE MANGA";;P;CRITICA;;;8 11/16;;8 15/16;;9  1/8 ;;9  3/8 ;;9  3/4 ;;10  1/16;;;;;;;;;;;;;;;;
Z1;ALTO DE VENZ DELANTERO-ESPALDA;;P;CRITICA;;;4  7/16;;4  7/16;;4  7/16;;4  7/16;;4  7/16;;4  7/16;;;;;;;;;;;;;;;;
V;LARGO DE CUELLO ;;C;CRITICA;;;14  1/4 ;;15      ;;15  3/4 ;;16  1/2 ;;17  1/4 ;;17  5/8 ;;;;;;;;;;;;;;;;
W;ALTO DE CUELLO  EN CENTRO;;C;CRITICA;;;3  3/8 ;;3  3/8 ;;3  3/8 ;;3  3/8 ;;3  3/8 ;;3  3/8 ;;;;;;;;;;;;;;;;
D1;ALTO DE CUELLO  EN PUNTA;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICA;;;20      ;;20  3/4 ;;21  1/2 ;;22  1/4 ;;23      ;;23  3/8 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
X;LARGO DE PECHERA ;;C;CRITICA;;;7  1/2 ;;7  1/2 ;;7  1/2 ;;7  1/2 ;;7  1/2 ;;7  1/2 ;;;;;;;;;;;;;;;;
A1;ANCHO DE PECHERA ;;C;CRITICA;;;4 15/16;;4 15/16;;4 15/16;;4 15/16;;4 15/16;;4 15/16;;;;;;;;;;;;;;;;
E1;ALTO DE PUÑO;;C;CRITICA;;; 15/16;; 15/16;; 15/16;; 15/16;; 15/16;; 15/16;;;;;;;;;;;;;;;;
C1;LARGO  DE PUÑO;;C;CRITICA;;;11  3/4 ;;12  1/2 ;;13  1/4 ;;14      ;;15      ;;15  3/4 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
