C;ANCHO DE HOMBRO ESPALDA(MITAD);;P;CRITICAL;  5/16;  3/8 ;9  3/16;;9  7/16;;9 11/16;;;;;;;;;;;;;;;;;;;;;;;
D;UBICACIÓN DE 1/2 PECHO ESPALDA ;;P;CRITICAL;;;7  3/4 ;;8      ;;8  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE 1/2 PECHO ESPALDA (MITAD);;P;CRITICAL;  5/16;  3/8 ;8  9/16;;8 13/16;;9  1/16;;;;;;;;;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICAL;;;10      ;;10  9/16;;11  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE PECHO ESPALDA(MITAD);;P;CRITICAL;  5/16;  3/8 ;13  1/8 ;;14  1/8 ;;15  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G1;ANCHO DE PECHO DELANTERO;;P;CRITICAL;  5/16;  3/8 ;24 13/16;;26 13/16;;28 13/16;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON ESPALDA(MISTAD);;P;CRITICAL;  3/8 ;  3/8 ;15  7/16;;16  7/16;;17  7/16;;;;;;;;;;;;;;;;;;;;;;;
H1;ANCHO DE FALDON DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;26  5/16;;28  5/16;;30  5/16;;;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;29 13/16;;30  1/2 ;;31  1/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICAL;;;4  1/2 ;;4  5/8 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;8  3/8 ;;8  5/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;4      ;;4  1/8 ;;4  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;16  3/4 ;;17  1/4 ;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
N;UBICACIÓN DE 1/2 PECHO DELANTERO;;P;CRITICAL;;;6  1/8 ;;6  3/8 ;;6  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE 1/2 PECHO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;16      ;;16  1/2 ;;17      ;;;;;;;;;;;;;;;;;;;;;;;
P;SISA RECTA DELANTERO;;P;CRITICAL;;;8  5/16;;8 15/16;;9  9/16;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;28 13/16;;29  7/16;;30  1/16;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;10  3/8 ;;10  1/2 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;18  3/8 ;;19  3/4 ;;21  3/16;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;16 15/16;;18  1/4 ;;19  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;22  1/16;;22 11/16;;23  7/16;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;21 11/16;;22  5/16;;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO ;;C;CRITICAL;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE ;;C;CRITICAL;;;15  5/8 ;;16      ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICAL;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
