C;ANCHO DE FALDON DELANTERO-ESPALDA;;P;CRITICAL;;;;;30  1/4 ;;32  1/4 ;;34  1/4 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;22  3/4 ;;24  3/4 ;;26  3/4 ;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICAL;;;;;9  1/16;;9  5/16;;9  9/16;;;;;;;;;;;;;;;;;;;
F;CAIDA DE CUELLO DELANTERO;;P;CRITICAL;;;;;4  1/4 ;;4  3/8 ;;4  5/8 ;;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICAL;;;;;9  3/4 ;;10  5/8 ;;11  1/2 ;;;;;;;;;;;;;;;;;;;
H;LARGO DE ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;32  3/4 ;;33  3/8 ;;34      ;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;23  3/16;;25  3/16;;27  3/16;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICAL;;;;;9  5/16;;9  9/16;;9 13/16;;;;;;;;;;;;;;;;;;;
K;CAIDA DE CUELLO ESPALDA;;P;CRITICAL;;;;;1 11/16;;1 13/16;;1 13/16;;;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA;;P;CRITICAL;;;;;10  7/16;;11  5/16;;12  3/16;;;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA (BICEP);;P;CRITICAL;  3/8 ;  3/8 ;;;19  9/16;;20 13/16;;22  1/16;;;;;;;;;;;;;;;;;;;
N;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;23      ;;23  3/16;;23  5/16;;;;;;;;;;;;;;;;;;;
Ñ;BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;10  1/8 ;;10 11/16;;11  5/16;;;;;;;;;;;;;;;;;;;
O;ANCHO DE CUELLO EN BORDE;;C;CRITICAL;;;;;24  1/4 ;;25      ;;25  3/4 ;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICAL;;;;;24  1/2 ;;25  1/4 ;;26      ;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICAL;;;;;10      ;;10      ;;10      ;;;;;;;;;;;;;;;;;;;
R;ANCHO DE TAPETE ESPALDA;;C;CRITICAL;;;;;15  1/4 ;;15  9/16;;15 15/16;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE ESPALDA;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
T;ANCHO DE COLLARETA CORDON EN CUELLO;;C;CRITICAL;;;;;49      ;;49  3/4 ;;50  1/2 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA CORDON EN CUELLO;;C;CRITICAL;;;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
