B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;21  3/8 ;;22  3/8 ;;23  3/8 ;;24  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;14  7/8 ;;15  3/8 ;;15  7/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;;;6  5/16;;6 13/16;;7  5/16;;7 13/16;;8  9/16;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;9 15/16;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;6  3/16;;6  5/16;;6  7/16;;6  9/16;;6 11/16;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28  5/8 ;;29  1/8 ;;29  5/8 ;;30  1/8 ;;30  5/8 ;;;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15  3/8 ;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  5/8 ;;;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;;;6 15/16;;7  7/16;;7 15/16;;8  7/16;;9  3/16;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;9  3/8 ;;9  5/8 ;;9  7/8 ;;10  1/8 ;;10  3/8 ;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24  7/16;;24 15/16;;25  7/16;;25 15/16;;26  7/16;;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA (BICEP);;P;CRITICA;  3/8 ;  3/8 ;12  5/16;;13  1/16;;13  3/4 ;;14  1/2 ;;15  5/8 ;;;;;;;;;;;;;;;;;;;
O;ANCHO BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7  5/8 ;;8  3/16;;8  5/8 ;;9  3/16;;9  5/8 ;;;;;;;;;;;;;;;;;;;
P;ANCHO COLLARETA CUELLO(DISPO);;C;CRITICA;;;31  7/8 ;;32  5/8 ;;33  3/8 ;;34  1/8 ;;34  7/8 ;;;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA (DISPO);;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;
R;ANCHO TAPETE CUELLO;;C;CRITICA;;;14  7/8 ;;15  1/4 ;;15  5/8 ;;16      ;;16  3/8 ;;;;;;;;;;;;;;;;;;;
S;ALTO TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5      ;;5      ;;5      ;;5      ;;5      ;;;;;;;;;;;;;;;;;;;
2;ANCHO DE EMDIO PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13  1/4 ;;13  3/4 ;;14  1/4 ;;15      ;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;13  1/2 ;;14      ;;14  1/2 ;;15      ;;15  3/4 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
