D;SISA RECTA ESPALDA;;P;CRITICA;  7/16;  1/2 ;10  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DEL -ESP EN SISA;;P;CRITICA;  1/2 ;  1/2 ;30  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/2 ;  3/8 ;33  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;29  9/16;;;;;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;7  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/2 ;  1/4 ;4  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;  7/16;  1/2 ;9 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/2 ;  3/8 ;32  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  3/8 ;13  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICA;  1/2 ;  1/2 ;23  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO ;;C;CRITICA;;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO ;;C;CRITICA;;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE TAPETE ;;C;CRITICA;;;15  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MARGENES DE COSTURA :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ESCOTE CUELLO                                  1/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HOMBROS                                                  1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SISAS                                                             1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;COSTADOS                                                1/2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BASTA DE MANGA                                 3/8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BASTA DE FALDON                               3/8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
