D;ANCHO DE PECHO DELANTERO ESPALDA;;P;CRITICA;  3/8 ;  3/16;17  1/2 ;;18  1/2 ;;19  3/4 ;;21  1/4 ;;23  1/4 ;;;;;;;;;;;;;;;;;
E;ABERTURA DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/16;24  1/8 ;;25  1/8 ;;26  3/8 ;;27  7/8 ;;29  7/8 ;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;23      ;;23  9/16;;24  1/8 ;;24  5/8 ;;25  1/8 ;;;;;;;;;;;;;;;;;
G;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  5/8 ;;;;;;;;;;;;;;;;;
H;CAIDA ESPALDA;;P;CRITICA;  3/8 ;3 /16;  7/16;;  7/16;;  7/16;;  7/16;;  7/16;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  3/16;10  1/4 ;;10  3/4 ;;11  5/16;;11 15/16;;12 13/16;;;;;;;;;;;;;;;;;
J;ABERTURA DE FALDON DELANTERO;;P;CRITICA;;;23  3/4 ;;24 11/16;;25  7/8 ;;27  5/16;;29  1/4 ;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;;;27  1/16;;27  9/16;;28      ;;28  5/8 ;;29  1/8 ;;;;;;;;;;;;;;;;;
L;LARGO DE MANGA;;P;CRITICA;;;27  1/2 ;;28  1/8 ;;28  7/8 ;;29  3/4 ;;30  7/8 ;;;;;;;;;;;;;;;;;
M;ANCHO DE MANGA  EN SISA;;P;CRITICA;  3/8 ;  3/8 ;13  7/8 ;;14  5/8 ;;15  3/8 ;;16  3/8 ;;17  7/8 ;;;;;;;;;;;;;;;;;
N;ABERTURA DE MANGA ;;P;CRITICA;  1/4 ;  1/4 ;8  3/16;;8  7/16;;8  3/4 ;;9      ;;9  1/4 ;;;;;;;;;;;;;;;;;
O;LARGO DE COLLARETA DE CUELLO;;P;CRITICA;;;23      ;;23  1/2 ;;24      ;;24  1/2 ;;25      ;;;;;;;;;;;;;;;;;
P;ALTO DE COLLARTEA DE CUELLO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;
Q;FALDON CUERVO DELANTERO;;C;CRITICA;;;  1/4 ;;  1/4 ;;  1/4 ;;  1/4 ;;  1/4 ;;;;;;;;;;;;;;;;;
R;FALDON CUERVO ESPALDA;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;8      ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
