C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;5 /16;  3/16;12  1/4 ;;12  9/16;;12 13/16;;13  1/16;;13  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA 1/2;;P;CRITICA;5 /16;  3/16;6  1/2 ;;6  5/8 ;;6  3/4 ;;6 15/16;;7  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO PECHO EN LINEA DE SISA DEL-ESP;;P;CRITICA;;;25  3/4 ;;27  3/4 ;;29  3/4 ;;31  3/4 ;;34  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON  DELANTERO/ ESPALDA ;;P;CRITICA;;;25  1/2 ;;27  1/2 ;;29  1/2 ;;31  1/2 ;;34  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;6 11/16;;7  1/8 ;;7  5/8 ;;8  1/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;SISA RECTA ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6 11/16;;7  1/8 ;;7  5/8 ;;8  1/8 ;;8  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;5  3/8 ;;5  3/4 ;;6  1/8 ;;6  1/2 ;;6  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;CAIDA CUELLO DELANTERO;;P;CRITICA;;;  5/8 ;;  3/4 ;;  7/8 ;;1      ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;3  3/8 ;;3  9/16;;3 11/16;;3  7/8 ;;4      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE ESCOTE ESP ;;P;CRITICA;;;  1/4 ;;  3/8 ;;  1/2 ;; 11/16;; 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE COLLARETA DE SISA;;C;CRITICA;;;18  5/8 ;;19  7/8 ;;21  1/8 ;;22  3/8 ;;24  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ALTO DE COLLARETA DE SISA;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO DE CENTRO ESPALDA;;P;CRITICA;;;24  3/4 ;;25  1/8 ;;25  1/2 ;;25  7/8 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;OJO. MOLDE REDUCIDO LA TOLERANCIA -3/8 LARGO CUERPO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;% REAL 3.5X2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;%REDUCIDO TOLERANCIA 2X0  MOLDE CODIFICADO COMO ( AJ );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
