B;CAIDA DE CUELLO ESPALDA ;;P;CRITICA;;;1      ;;1  1/8 ;;1  1/4 ;;1  3/8 ;;1  1/2 ;;1  5/8 ;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17 15/16;;18  7/16;;18 15/16;;19 11/16;;20  7/16;;21  3/16;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;;;9  1/16;;9  9/16;;10  1/16;;10  9/16;;11  1/16;;11  1/2 ;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  3/16;;20 11/16;;21  7/16;;22 15/16;;24  7/16;;25 15/16;;;;;;;;;;;;;;;;;
F;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;20      ;;20  3/4 ;;22  1/4 ;;23  3/4 ;;25  1/4 ;;;;;;;;;;;;;;;;;
G;LARGO  ESPALDA ;;P;CRITICA;  3/16;  1/4 ;29  1/8 ;;30  1/8 ;;31  1/8 ;;32  1/8 ;;33  1/8 ;;34  1/8 ;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3 13/16;;3 13/16;;3 13/16;;4  1/16;;4  5/16;;4  9/16;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17  3/16;;17 11/16;;18  3/16;;18 15/16;;19 11/16;;20  7/16;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICA;;;8  3/16;;8 11/16;;9  3/16;;9  3/4 ;;10  1/4 ;;10  3/4 ;;;;;;;;;;;;;;;;;
L;LARGO DELANTERO ;;P;CRITICA;  3/16;  1/4 ;28  3/16;;29  3/16;;30  3/16;;31  3/16;;32  3/16;;33  3/16;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA ;;P;CRITICA;  3/8 ;  1/4 ;9  1/8 ;;9  5/8 ;;10  1/8 ;;10  1/2 ;;10  7/8 ;;11  1/4 ;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;17  1/2 ;;18  1/4 ;;19      ;;19  3/4 ;;20  1/2 ;;21  1/2 ;;;;;;;;;;;;;;;;;
Ñ;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  1/8 ;;14  5/16;;15  3/8 ;;16  1/16;;16 13/16;;17 11/16;;;;;;;;;;;;;;;;;
O;LARGO DE CUELLO;;C;CRITICA;;;17  3/8 ;;17  7/8 ;;18  3/8 ;;19  3/8 ;;20  3/8 ;;21  3/8 ;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;
Q;LARGO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;22  7/8 ;;23  3/4 ;;24  5/8 ;;25  1/2 ;;26  7/16;;27  5/16;;;;;;;;;;;;;;;;;
R;ANCHO DE TAPETE ESCOTE ESPALDA;;C;CRITICA;;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;  7/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;OJO COMO MOLDE TIENE + 1/8 EN LOS LARGO COMO  MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
