B;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/4 ;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;;;11  9/16;;12  1/16;;12  9/16;;13  1/16;;13 13/16;;14  9/16;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO EN PUNTA DE SISA;;P;CRITICA;  7/16;  7/16;18  1/16;;19  1/16;;20  1/16;;21  1/16;;22  9/16;;24  1/16;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  3/8 ;  1/4 ;22  5/16;;22 13/16;;23  5/16;;23 13/16;;24  3/8 ;;24  7/8 ;;;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO;;P;CRITICA;  7/16;  7/16;19  7/8 ;;20  7/8 ;;21  7/8 ;;22  7/8 ;;24  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  7/16;;8 11/16;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;;;;;;;;;;;;;;;;
V;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;2  1/8 ;;;;;;;;;;;;;;;;;
K;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;11 15/16;;12  7/16;;12 15/16;;13  7/16;;14  3/16;;14 15/16;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA EN PUNTA DE SISA;;P;CRITICA;  7/16;  7/16;16 11/16;;17 11/16;;18 11/16;;19 11/16;;21  3/16;;22 11/16;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;22 11/16;;23  3/16;;23 11/16;;24  3/16;;24 11/16;;25  3/16;;;;;;;;;;;;;;;;;
O;ANCHO DE FALDON ESPALDA;;P;CRITICA;  7/16;  7/16;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  5/8 ;;24  1/8 ;;;;;;;;;;;;;;;;;
P;SISA  RECTA DELANTERO;;P;CRITICA;;;7  7/16;;7 15/16;;8  1/2 ;;9      ;;9  3/4 ;;10  1/2 ;;;;;;;;;;;;;;;;;
Q;SISA RECTA ESPALDA;;P;CRITICA;;;8  1/2 ;;9      ;;9  1/2 ;;10      ;;10  3/4 ;;11  1/2 ;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;26  1/2 ;;27  1/4 ;;27  7/8 ;;28  5/8 ;;29  3/8 ;;30      ;;;;;;;;;;;;;;;;;
S;ALTO  DE COLLARETA CUELLO;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
T;LARGO DE COLLARETA SISA;;C;CRITICA;;;23  3/4 ;;25      ;;26  3/8 ;;27  5/8 ;;29  5/8 ;;31  5/8 ;;;;;;;;;;;;;;;;;
U;ALTO  DE COLLARETA SISA;;C;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  1/2 ;;13  3/4 ;;14      ;;14  1/4 ;;14  1/2 ;;14  3/4 ;;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;
Z;ANCHO DE CINTURA DELANTERO;;P;CRITICA;;;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  5/8 ;;23  1/8 ;;;;;;;;;;;;;;;;;
Z1;ANCHO DE CINTURA ESPALDA;;P;CRITICA;;;15  5/8 ;;16  5/8 ;;17  5/8 ;;18  5/8 ;;20  1/8 ;;21  5/8 ;;;;;;;;;;;;;;;;;
A1;ALTO DE CINTURA DELANTERO;;P;CRITICA;;;14  1/4 ;;14  3/4 ;;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;;;;;;;;;;;;;;;;
A2;ALTO DE CINTURA ESPALDA;;P;CRITICA;;;15  1/4 ;;15  3/4 ;;16  1/4 ;;16  3/4 ;;17  1/4 ;;17  3/4 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;NUEVA FORMAS DE MEDIR HPS ES DESDE BORDE COLLARETA;;;;;;;;;;;;;;;;;;;;;;;;;;;
