K;SISA RECTA ESPALDA;;;;;;;;P;CRITICA;;;8  5/8 ;;;;9      ;;;;9  1/2 ;;;;10      ;;;;10  1/2 ;;;;11      ;;;
L;ABERTURA DE CUELLO ESPALDA ;;;;;;;;P;CRITICA;;;7      ;;;;7  1/4 ;;;;7  1/2 ;;;;7  3/4 ;;;;8      ;;;;8  1/4 ;;;
M;CAIDA DE CUELLO ESPALDA;;;;;;;;P;CRITICA;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;;1  1/2 ;;;
N;LARGO SUPERIOR DE MANGA;;;;;;;;P;CRITICA;  3/8 ;  1/4 ;26      ;;;;26  5/8 ;;;;27  1/4 ;;;;27  7/8 ;;;;28  1/2 ;;;;29  1/8 ;;;
O;BICEP ANCHO SUPERIOR DE MANGA;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;14  3/4 ;;;;15  3/4 ;;;;16  3/4 ;;;;17  3/4 ;;;;18  3/4 ;;;;19  3/4 ;;;
P;ANCHO DE BOCA DE MANGA;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;7  7/8 ;;;;8  3/8 ;;;;8  7/8 ;;;;9  3/8 ;;;;9  7/8 ;;;;10  3/8 ;;;
Q;LARGO DE CUELLO;;;;;;;;C;CRITICA;;;15  7/8 ;;;;16  9/16;;;;17  5/16;;;;18      ;;;;18  3/4 ;;;;19  7/16;;;
R;ALTO DE CUELLO;;;;;;;;C;CRITICA;;;2  1/8 ;;;;2  1/8 ;;;;2  1/8 ;;;;2  1/8 ;;;;2  1/8 ;;;;2  1/8 ;;;
S;LARGO DE TAPETE CUELLO;;;;;;;;C;CRITICA;;;11  5/8 ;;;;11  7/8 ;;;;12  1/8 ;;;;12  3/8 ;;;;12  5/8 ;;;;12  7/8 ;;;
T;ALTO DE TAPETE CUELLO;;;;;;;;C;CRITICA;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;;1  1/8 ;;;
V;LARGO DE PECHERA INFERIOR;;;;;;;;C;CRITICA;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;
W;ANCHO DE PECHERA INFERIOR;;;;;;;;C;CRITICA;;;2      ;;;;2      ;;;;2      ;;;;2      ;;;;2      ;;;;2      ;;;
X;LARGO DE PECHERA SUPERIOR;;;;;;;;C;CRITICA;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;
Y;ANCHO DE PECHERA SUPERIOR;;;;;;;;C;CRITICA;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;;1  1/4 ;;;
1;ALTO DE MEDIO PECHO DELANTERO;;;;;;;;P;CRITICA;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;;6      ;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;15  1/4 ;;;;16      ;;;;16  3/4 ;;;;17  1/2 ;;;;18  1/4 ;;;;19      ;;;
3;ALTO DE MEDIO PECHO ESPALDA;;;;;;;;P;CRITICA;;;6  3/4 ;;;;6  3/4 ;;;;6  3/4 ;;;;6  3/4 ;;;;6  3/4 ;;;;6  3/4 ;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;;;;;;;P;CRITICA;  3/8 ;  3/8 ;16  1/4 ;;;;17      ;;;;17  3/4 ;;;;18  1/2 ;;;;19  1/4 ;;;;20      ;;;
;MEDIDAS ADICIONALES PARA DELANTERO SIN TAJO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;LARGO DE PECHERA ;;;;;;;;C;CRITICA;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;;8  3/4 ;;;
2;ANCHO DE PECHERA;;;;;;;;C;CRITICA;;;3  1/4 ;;;;3  1/4 ;;;;3  1/4 ;;;;3  1/4 ;;;;3  1/4 ;;;;3  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
