COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  7/16;  1/4 ;29  5/16;;29 13/16;;30  5/16;;30 13/16;;31  5/16;;31 13/16;;;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO Y ESPALDA EN SISA;;P;CRITICA;  7/16;  7/16;19  1/4 ;;21  1/4 ;;23  1/4 ;;25  1/4 ;;27  1/4 ;;29  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;  7/16;  7/16;19  3/16;;21  3/16;;23  3/16;;25  3/16;;27  3/16;;29  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;17  1/2 ;;18  1/2 ;;19  1/2 ;;20  1/2 ;;21  1/2 ;;22  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;8  3/8 ;;8  7/8 ;;9  1/4 ;;9  3/4 ;;10  3/16;;10  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2 15/16;;3  3/16;;3  7/16;;3 11/16;;3 15/16;;4  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  7/16; 1/4;30 13/16;;31  5/16;;31 13/16;;32  5/16;;32 13/16;;33  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;9  5/16;;9 13/16;;10  1/4 ;;10 11/16;;11  1/8 ;;11 11/16;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA;;;14  3/16;;15  3/16;;16  3/16;;17  3/16;;18  5/16;;19  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;13  1/4 ;;14  1/4 ;;15  1/4 ;;16  1/4 ;;17  3/8 ;;18  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  7/16;  5/16;9  5/8 ;;9  5/8 ;;9  5/8 ;;9  5/8 ;;9  3/4 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;LARGO DE PUÑO;;C;CRITICA;;;11  5/8 ;;12  5/8 ;;13  5/8 ;;14  5/8 ;;15  5/8 ;;16  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PUÑO;;C;CRITICA;;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;;;;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE GUSET 1;;P;CRITICA;;;11  7/16;;11  7/16;;11  7/16;;11  7/16;;11  7/16;;11  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE GUSET 1;;P;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE GUSET 2;;P;CRITICA;;;12  1/16;;12  1/16;;12  1/16;;12  1/16;;12  1/16;;12  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE GUSET 2;;P;CRITICA;;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;2  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6  3/16;;6  7/16;;6 11/16;;6 15/16;;7  3/16;;7  7/16;;;;;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
W;ANCHO DE CUELLO RECTILINEO;;C;CRITICA;;;14  1/4 ;;15      ;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;;;;;;;;;;;;;;13  7/8 ;;14  5/8 ;;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  5/8 
X;ALTO DE CUELLO RECTILINEO;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
Y;ANCHO DE TAPP;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;
Z;ALTO DE TAPP;;C;CRITICA;;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
A3;LARGO DE TAJO DE PECHERA;;P;CRITICA;;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO MEDIO PECHO DELANTERO;;P;CRITICA;;;7  1/4 ;;7  1/4 ;;7  1/4 ;;7  3/4 ;;8  3/8 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;16  5/8 ;;17  3/4 ;;18  3/4 ;;19  7/8 ;;20  7/8 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  7/8 ;;7  7/8 ;;7  7/8 ;;8  1/4 ;;9  1/4 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;17      ;;18  1/8 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
5;ANCHO HOMBRO INDIVIDUAL;;P;CRITICA;;;6  5/8 ;;7      ;;7  3/8 ;;7  3/4 ;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;
6;LARGO DE PECHERA SUPERIOR;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;2  1/16;;;;;;;;;;;;;;;;;;;;;;;;;
8;LARGO DE PECHERA INFERIOR;;C;CRITICA;;;8;;8;;8;;8;;8;;8;;;;;;;;;;;;;;;;;;;;;;;;;
9;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;3  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;OJO: PARA TSC 13061 HEATHER SE MODIFICO MOLDE SOLO CUELLO RECTILINEO AL LARGO  COMO LO RESALTADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
