;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;4  3/8 ;;4  3/4 ;;5  1/16;;5  3/8 ;;5  3/4 ;;6  1/8 ;;6  7/16;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  1/8 ;;3  1/4 ;;3  1/2 ;;3  5/8 ;;3  7/8 ;;4      ;;4  1/4 ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;15  9/16;;16  9/16;;17  9/16;;18  9/16;;19  9/16;;20  9/16;;21  9/16;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;18  1/4 ;;19  3/4 ;;21  1/4 ;;22  3/4 ;;24  3/4 ;;26  3/4 ;;28  3/4 ;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;7  7/16;;7 11/16;;7 15/16;;8  1/4 ;;8  1/2 ;;8 13/16;;9  3/16;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;18      ;;19  1/2 ;;21      ;;22  1/2 ;;24  1/2 ;;26  1/2 ;;28  1/2 ;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;28 13/16;;29  5/16;;29 13/16;;30  5/16;;31  5/16;;32  5/16;;33  5/16;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;5  1/8 ;;5  1/2 ;;5  7/8 ;;6  1/4 ;;6  5/8 ;;7      ;;7  3/8 ;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  3/16;;1  3/16;;1  5/16;;1  5/16;;1  5/16;;1  7/16;;1  9/16;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/2 ;  1/2 ;16  1/2 ;;17  1/2 ;;18  1/2 ;;19  9/16;;20  9/16;;21  9/16;;22  9/16;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;8  7/16;;8 11/16;;8 15/16;;9  3/16;;9  7/16;;9  3/4 ;;10  1/16;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  7/8 ;;30  3/8 ;;30  7/8 ;;31  3/8 ;;32  3/8 ;;33  3/8 ;;34  3/8 ;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/4 ;9  3/4 ;;10      ;;10  1/4 ;;10  1/2 ;;10  3/4 ;;11      ;;11  1/4 ;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;15  1/16;;15  9/16;;16  5/16;;17  1/16;;17 13/16;;18  7/8 ;;19 15/16;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;12  3/16;;13  1/16;;13 15/16;;14 13/16;;15  7/8 ;;16 15/16;;17 15/16;;;;;;;;;;;;;;;;
1;LARGO DE TAJO;;P;CRITICA;;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;5  1/2 ;;;;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;8  1/16;;8  1/16;;8  1/16;;8  1/16;;8  1/16;;8  1/16;;8  1/16;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;;;;;;;;;;;;;;;
U;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;11      ;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;20  1/2 ;;21  1/4 ;;22  1/4 ;;22  7/8 ;;23  7/8 ;;24  3/4 ;;25  3/4 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
5;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;11  1/2 ;;12  1/2 ;;13  1/2 ;;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;;;;;;;;;;;;;;;
6;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;;;;;;;;;;;;;;;
7;LARGO DE CUELLO ;;C;CRITICA;;;13  3/4 ;;14  3/4 ;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;;;;;;;;;;;;;;;
8;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;
9;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;3      ;;3      ;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
