A;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;;;;;;;;;;;;;;;;;;;;;;;
B;SISA DELANTERO;;P;CRITICA;;;8  5/8 ;;9      ;;9  3/8 ;;9  3/4 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO PECHO DELANTERO Y ESPALDA PUNTA-PUNTA;;P;CRITICA;;;23  1/4 ;;24  1/4 ;;25  1/4 ;;26  1/4 ;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;
D;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;25  9/16;;26  1/16;;26  9/16;;27  1/16;;27  9/16;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE FALDON DELANTERO Y ESPALDA;;P;CRITICA;;;23      ;;24      ;;25      ;;26      ;;27  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;22      ;;23      ;;24      ;;25      ;;26  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  9/16;;26  1/16;;26  9/16;;27  1/16;;27  9/16;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;22      ;;23      ;;24      ;;25      ;;26  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
I;ABERURA DE CUELLO ESPALDA;;P;CRITICA;;;8      ;;8  1/4 ;;8  1/2 ;;8  3/4 ;;9      ;;;;;;;;;;;;;;;;;;;;;;;;
J;SISA ESPALDA;;P;CRITICA;;;8  5/8 ;;9      ;;9  3/8 ;;9  3/4 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DELANTERO Y ESPALDA;;P;CRITICA;;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;4 13/16;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;21  3/8 ;;22  3/8 ;;23  3/8 ;;24  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;21  3/8 ;;22  3/8 ;;23  3/8 ;;24  3/8 ;;25  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;OJO: MOLDE SEGÚN PRUEBA SALIO CON MISMO % DEL ULTIMO PROTO 1X3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;SE HIZO AJUSTE DE MOLDE EN CODIGO:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;269 ANCHO PECHO EN PUNTA SISA  SALIA +1/2 MOLSE QUITO -1/4 TOTAL COMO % VA TENER 2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;"CODIGO 103 ANCHO DE PECHO 1 BAJO SISA SEGÚN PRUEBA SALIA +1/2"" SE QUITO -1/4 TOTAL COMO % VA TENER 2%";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;CODIGO 106 LARGO DE CUERPO COMO MOLDE ESTA +1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
