B;ANCHO DE PUNTA DE PECHO DELANTERO;;P;CRITICA;  3/16;  3/8 ;26  1/2 ;;28      ;;30  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/16;  3/8 ;18      ;;18  3/4 ;;19  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA DELANTERO;;P;CRITICA;  3/16;  3/8 ;9      ;;9  3/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;;;10  3/8 ;;10  5/8 ;;10  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;CAIDA DE ESCOTE  DELANTERO;;P;CRITICA;;;3  5/8 ;;3  7/8 ;;4  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE ABERTURA DELANTERO;;P;CRITICA;;;3  3/4 ;;3  3/4 ;;3  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE ABERT DELANTERO;;P;CRITICA;;;2  1/4 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/16;  3/8 ;30      ;;31  5/8 ;;33  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;INCLINACION DE FALDON DELANTERO ;;P;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;;;29  3/4 ;;30  1/2 ;;31  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE PUNTA DE PECHO ESPALDA;;P;CRITICA;  3/16;  3/8 ;24  7/8 ;;26  3/8 ;;28  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/16;  3/8 ;17  1/8 ;;17  7/8 ;;18  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  3/16;  3/8 ;9  7/8 ;;10  1/4 ;;10  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;9  1/2 ;;9  3/4 ;;10  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;CAIDA DE ESCOTE  ESPALDA;;P;CRITICA;;;2  1/4 ;;2  3/8 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE FALDON ESP;;P;CRITICA;  3/16;  3/8 ;27  7/8 ;;29  3/8 ;;31  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;INCLINACION DE FALDON ESPALDA;;P;CRITICA;;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;;;8  3/4 ;;9  1/8 ;;9  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;ANCHO DE MANGA EN PUNTA ;;P;CRITICA;  3/16;  3/8 ;18  3/8 ;;19  5/8 ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ABERTURA DE MANGA ;;P;CRITICA;  3/16;  3/8 ;17  1/4 ;;18  3/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;ANCHO DE COLLARETA V;;C;CRITICA;;;12      ;;12      ;;12      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA V;;C;CRITICA;;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO DE COLLARETA CUELLO;;C;CRITICA;;;26  3/8 ;;27  3/8 ;;28  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
