COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;  1/4 ;  1/4 ;24  7/8 ;;25  1/4 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;;  3/8 ;12  7/8 ;;13  3/8 ;;14      ;;14  3/4 ;;15  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;;  3/8 ;13  3/8 ;;13  7/8 ;;14  3/8 ;;15  1/8 ;;16  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;;  3/8 ;13  7/16;;13 11/16;;13 15/16;;14  5/16;;14 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;;;4      ;;4  3/16;;4  3/8 ;;4  1/2 ;;4 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;ALTO DE CURVA DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;2  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICA;  1/4 ; 1/4;21  7/8 ;;22  3/8 ;;22  7/8 ;;23  3/8 ;;23  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE ESPALDA EN SISA;;P;CRITICA;  3/8 ; 3/8;25  1/8 ;;26  1/8 ;;27  3/8 ;;28  7/8 ;;30  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;ANCHO DE FALDON ESPALDA;;P;CRITICA; 3/8; 3/8;22  5/8 ;;23  5/8 ;;24  7/8 ;;26  3/8 ;;28  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;23  1/4 ;;23  3/4 ;;24  1/4 ;;25      ;;26      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  1/4 ;  3/8 ;4  3/8 ;;4  3/4 ;;5  1/4 ;;5  7/8 ;;6  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;LARGO SUPERIOR DE MANGA;;P;CRITICA; 3/8; 1/4;21 11/16;;22  1/16;;22  7/16;;22 13/16;;23  3/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;9  1/16;;9  3/8 ;;9  5/8 ;;9 15/16;;10  3/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ALTO DE CURVA  ESPALDA;;P;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;13  7/8 ;;14  5/8 ;;15  5/8 ;;16  5/8 ;;18  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE HOMBRO EN CANESU ESPALDA;;P;CRITICA; 3/8; 3/8;23  1/4 ;;23  3/4 ;;24  3/8 ;;25  1/8 ;;26  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO INFERIOR EN CANEZU ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;19  3/8 ;;19  7/8 ;;20  3/8 ;;21  1/4 ;;22  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CANEZU ESPALDA;;P;CRITICA; 1/4; 1/4;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;ABERTURA DE CUELLO ESPALDA EN CANEZU;;P;CRITICA;;;6  3/4 ;;7      ;;7  1/4 ;;7  3/8 ;;7  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;SISA RECTA EN CANEZU ESPALDA;;P;CRITICA;;;5  3/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;CAIDA DE CUELLO ESPALDA EN CANEZU;;P;CRITICA;;;3  3/8 ;;3  3/8 ;;3  3/8 ;;3  3/8 ;;3  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE PIE DE CUELLO EXTERIOR;;C;CRITICA;;;16 15/16;;17 11/16;;18  7/16;;19  3/16;;19 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;ALTO DE PIE DE CUELLO EXTERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;LARGO DE PIE DE CUELLO INTERIOR;;C;CRITICA;;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  3/8 ;;20  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;ALTO DE CUELLO SUPERIOR E INFERIOR;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;LARGO SUPERIOR DE CUELLO SUPERIOR;;C;CRITICA;;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;LARGO INFERIOR DE CUELLO SUPERIOR;;C;CRITICA;;;15  1/8 ;;15  7/8 ;;16  5/8 ;;17  3/8 ;;18  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;LARGO SUPERIOR DE CUELLO INFERIOR;;C;CRITICA;;;16      ;;16  3/4 ;;17  1/2 ;;18  1/4 ;;19      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
A2;LARGO INFERIOR DE CUELLO INFERIOR;;C;CRITICA;;;15  3/8 ;;16  1/8 ;;16  7/8 ;;17  5/8 ;;18  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
A3;ANCHO DE ENTRETELA DE PECHERA DERECHA E IZQUIERDO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;.;
A4;LARGO DE ENTRETELA DE PECHERA DERECHA E IZQUIERDO;;C;CRITICA;;;23  1/2 ;;23  7/8 ;;24  1/4 ;;24  5/8 ;;25      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
A5;SISA RECTA DELANTERO DERECHO E IZQUIERDO;;P;CRITICA;;;4      ;;4  5/16;;4 11/16;;5  1/8 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
A6;ALTO DE PIE DE CUELLO INTERIOR;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
