C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;;;23  5/8 ;;;25  5/8 ;;;27  5/8 ;;;29  5/8 ;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;;;14  1/4 ;;;15  1/4 ;;;16  1/4 ;;;17  1/4 ;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  5/16;  3/8 ;;;7 11/16;;;8  1/2 ;;;9  1/4 ;;;10  1/16;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;6  1/4 ;;;6  1/2 ;;;6  3/4 ;;;7      ;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;2  7/8 ;;;3      ;;;3  1/8 ;;;3  1/4 ;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;28  3/4 ;;;29  1/4 ;;;29  3/4 ;;;30  1/4 ;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;14  5/8 ;;;15  5/8 ;;;16  5/8 ;;;17  5/8 ;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;;;8  3/8 ;;;9  1/8 ;;;9  7/8 ;;;10  5/8 ;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;6  9/16;;;6 13/16;;;7  1/16;;;7  5/16;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;;;1  3/8 ;;;1  1/2 ;;;1  5/8 ;;;1  3/4 ;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;24  5/8 ;;;25  1/8 ;;;25  5/8 ;;;26  1/8 ;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN PTO SISA;;P;CRITICA;  3/8 ;  3/8 ;;;16  3/16;;;17 11/16;;;19  3/16;;;20 11/16;;;;;;;;;;;;;;
O;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;;;8  9/16;;;9  1/16;;;9  5/8 ;;;10  1/8 ;;;;;;;;;;;;;;
P;LARGO DE CUELLO SUPERIOR;;C;CRITICA;;;;;15  3/4 ;;;16  1/2 ;;;17  1/4 ;;;18      ;;;;;;;;;;;;;;
Q;LARGO CUELLO  CENTRO;;C;CRITICA;;;;;14  1/2 ;;;15  1/4 ;;;16      ;;;16  3/4 ;;;;;;;;;;;;;;
R;ALTO DE  CUELLO;;C;CRITICA;;;;;5  1/4 ;;;5  1/4 ;;;5  1/4 ;;;5  1/4 ;;;;;;;;;;;;;;
S;LARGO DE TAPETE CUELLO;;C;CRITICA;;;;;12  3/8 ;;;12  3/4 ;;;13  1/8 ;;;13  1/2 ;;;;;;;;;;;;;;
T;ALTO DE TAPETE CUELLO;;C;CRITICA;;;;;1  1/8 ;;;1  1/8 ;;;1  1/8 ;;;1  1/8 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
