B;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;; 13/16;; 15/16;;1  1/16;;1  1/4 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA; 3/8; 3/8;14  1/8 ;;14  5/8 ;;15  1/8 ;;15  5/8 ;;16  3/8 ;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICA;  5/16; 3/8;6  3/4 ;;7  1/4 ;;7  3/4 ;;8  1/4 ;;9      ;;;;;;;;;;;;;;;;;;;;;
E;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  7/8 ;;27  3/8 ;;27  7/8 ;;28  3/8 ;;28  7/8 ;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE PECHO  ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  5/8 ;;5  7/8 ;;6  1/8 ;;6  3/8 ;;6  5/8 ;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  3/4 ;;2  7/8 ;;3      ;;3  1/8 ;;3  1/4 ;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;13  7/8 ;;14  3/8 ;;14  7/8 ;;15  3/8 ;;16  1/8 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;6  5/16;;6 13/16;;7  5/16;;7 13/16;;8  9/16;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHO  DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;17      ;;18      ;;19      ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;26  3/8 ;;26  7/8 ;;27  3/8 ;;27  7/8 ;;28  3/8 ;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19  1/4 ;;20  1/4 ;;21  1/4 ;;22  3/4 ;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24  5/16;;24 13/16;;25  5/16;;25 13/16;;26  5/16;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS ;;P;CRITICA;  3/8 ;  3/8 ;11  3/4 ;;12  9/16;;13  3/8 ;;14  1/8 ;;15  1/4 ;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;7  3/8 ;;7  7/8 ;;8  3/8 ;;8  7/8 ;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO EN CENTRO;;C;CRITICA;;;13  1/4 ;;14      ;;14  3/4 ;;15  1/2 ;;16  1/4 ;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE CUELLO EN BORDE;;C;CRITICA;;;14  1/16;;14 13/16;;15  9/16;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;;;;;;
Q;ALTO DE CUELLO;;C;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;5  5/8 ;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA; 3/8; 3/8;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  3/8 ;;15  1/8 ;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;5  1/8 ;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA; 3/8; 3/8;12  3/8 ;;12  7/8 ;;13  3/8 ;;13  7/8 ;;14  5/8 ;;;;;;;;;;;;;;;;;;;;;
5;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
6;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;11  1/4 ;;11  5/8 ;;12      ;;12  3/8 ;;12  3/4 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;REORDEN DEL PROGRAMA 547 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PARA EL PROGRAMA 650 SOLO SE ADICION PIQUETE EN CENTRO DELANTERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;POR QUE NO LO TENIA  (VISTO CON FACIANO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
