F;SISA RECTA DELANTERO  ;;P;CRITICA;  5/16;  3/8 ;;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9  1/16;;9  7/16;;;;;;;;;;;;;;;;
G;"ANCHO DE MEDIO PECHO DELANTERO A 7"" DE PUNTA DE ESCOTE";;P;CRITICA;  3/8 ;  3/8 ;;;15  5/8 ;;16  1/8 ;;16  5/8 ;;17  1/8 ;;17  5/8 ;;;;;;;;;;;;;;;;
H;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;;;6  3/8 ;;6  5/8 ;;6  7/8 ;;7  1/8 ;;7  1/8 ;;;;;;;;;;;;;;;;
I;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;;;3  5/8 ;;3  7/8 ;;4  1/8 ;;4 3/8;;4  5/8 ;;;;;;;;;;;;;;;;
J;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;;;30 13/16;;31  5/16;;32  1/16;;32 13/16;;33  9/16;;;;;;;;;;;;;;;;
K;"ANCHO DE MEDIO PECHO ESPALDA A 7 5/8""DE PUNTA DE ESCOTE";;P;CRITICA;  3/8 ;  3/8 ;;;16  1/8 ;;16  5/8 ;;17  1/8 ;;17  5/8 ;;18  1/8 ;;;;;;;;;;;;;;;;
L;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;;;18  1/8 ;;18  5/8 ;;19  1/8 ;;19  5/8 ;;20  1/8 ;;;;;;;;;;;;;;;;
M;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;;;8  1/2 ;;8  7/8 ;;9  1/4 ;;9 11/16;;10  1/16;;;;;;;;;;;;;;;;
N;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;
O;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;
P;ALTO DE CURVA FALDON;;P;CRITICA;;;;;2  5/16;;2  5/16;;2  5/16;;2  5/16;;2  5/16;;;;;;;;;;;;;;;;
Q;ANCHO DE BICEP EN PUNTA;;P;CRITICA;  3/8 ;  3/8 ;;;16  3/16;;16 15/16;;17  9/16;;18  3/8 ;;19  3/16;;;;;;;;;;;;;;;;
T;ANCHO DE ABERTURA DE MANGA EN BORDE;;P;CRITICA;  3/8 ;  3/8 ;;;14  1/8 ;;14  7/8 ;;15  5/8 ;;16  3/8 ;;17  1/8 ;;;;;;;;;;;;;;;;
V;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;;;9      ;;9  1/4 ;;9  1/2 ;;9  3/4 ;;10      ;;;;;;;;;;;;;;;;
W;ANCHO DE  CUELLO ;;C;CRITICA;;;;;15  5/16;;15 15/16;;16  5/8 ;;17  5/16;;17  5/8 ;;;;;;;;;;;;;;;;
X; ALTO CUELLO;;C;CRITICA;;;;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;
Y;ANCHO DE TAPETE ;;C;CRITICA;;;;;12  3/8 ;;12  5/8 ;;12  7/8 ;;13  1/8 ;;13  1/4 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE ;;C;CRITICA;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
