;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO  ESPALDA;;P;CRITICA;;;7  5/16;;7  9/16;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  7/8 ;;9  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO ESPALDA EN CANESU;;P;CRITICA;;;1  7/16;;1  7/16;;1  9/16;;1  9/16;;1 11/16;;1 11/16;;1 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  1/4 ;;19      ;;19  3/4 ;;20 13/16;;21 13/16;;23  5/16;;25  1/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO ESPALDA ;;P;CRITICA;  3/8 ;  1/4 ;29  5/16;;30  5/16;;31  5/16;;32  5/16;;33  5/16;;34  5/16;;35  5/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;ANCHO DE PECHO EN SISA ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;20  3/8 ;;21  3/8 ;;22  3/8 ;;23  7/8 ;;25  3/8 ;;28  7/8 ;;31  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8 11/16;;9  3/16;;9  3/4 ;;10  1/8 ;;10  1/2 ;;11  9/16;;12  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE FALDON ESPALDA Y DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;20  7/16;;21  7/16;;22 15/16;;24  7/16;;27 15/16;;30  7/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5 13/16;;6  1/8 ;;6  7/16;;6 11/16;;6 15/16;;7  7/16;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  1/8 ;;2  1/4 ;;2  3/8 ;;2  1/2 ;;2  5/8 ;;2  7/8 ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LL;ABERTURA DE TAJO PECHERA DELANTERO;;P;CRITICA;;;4  3/16;;4  7/16;;4  7/16;;4 11/16;;4 11/16;;4 15/16;;4 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;bolsillo supeiro
M;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 13/16;;17  9/16;;18  5/16;;19  5/16;;20  5/16;;22  1/16;;23  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;SISA RECTA DELANTERO;;P;CRITICA;;;6 15/16;;7  7/16;;8      ;;8  7/16;;8 13/16;;9 15/16;;10 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ñ;LARGO DELANTERO ;;P;CRITICA;  5/16;  1/4 ;27      ;;28      ;;29      ;;30      ;;31      ;;32      ;;33      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  7/16;;8  1/16;;8 11/16;;9  3/16;;9 11/16;;10  1/16;;10  9/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  7/16;;18  1/4 ;;19  1/16;;20  1/16;;22  7/16;;23 15/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;12  3/4 ;;13 13/16;;14 13/16;;15 13/16;;16 13/16;;18  5/16;;19 13/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;LARGO DE PECHERA INFERIOR;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE PECHERA INFERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;LARGO DE PECHERA SUPERIOR;;C;CRITICA;;;6  1/2 ;;6  3/4 ;;6  3/4 ;;7      ;;7      ;;7  1/4 ;;7  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U;ANCHO DE PECHERA SUPERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO  BOLSA DE BOLSILLO INFERIOR;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO BOLSA DE BOLSILLO INFERIOR;;C;CRITICA;;;6      ;;6      ;;6      ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;6  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO BOLSA DE BOLSILLO SUPERIOR;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;ALTO DE BOLSA DE BOLSILLO SUPERIOR;;C;CRITICA;;;5  7/16;;5  7/16;;5  7/16;;5 11/16;;5 11/16;;5 11/16;;5 11/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE VISTA BOLSILO ;;C;CRITICA;;;4  7/8 ;;4  7/8 ;;5  1/8 ;;5  1/8 ;;5  3/8 ;;5  3/8 ;;5  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A1;ALTO DE VISTA DE BOLSILLO  ;;C;CRITICA;;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;1  7/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PUÑO RECTILINEO;;C;CRITICA;;;11  3/4 ;;12  3/4 ;;13  3/4 ;;14  3/4 ;;15  3/4 ;;17  1/4 ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D1;ANCHO DE TAPETE CUELLO;;C;CRITICA;;;21      ;;21  3/4 ;;22  1/2 ;;23  1/4 ;;24      ;;25  1/4 ;;26  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E1;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1;ANCHO DE TAPETE VENTZ;;C;CRITICA;;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G1;ALTO DE TAPETE VENTZ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H1;ANCHO DE CUELLO RECTILINEO;;C;CRITICA;;;15  1/2 ;;16      ;;16  1/2 ;;17  1/4 ;;18      ;;19  1/4 ;;20  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I1;ALTO DE CUELLO RECTILINEO;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;3  1/8 ;;3  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J1;ANCHO ABERTURA DE TAJO;;P;CRITICA;;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K1;ALTO DE PARCHE MEDIA LUNA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  1/2 ;;4  3/4 ;;5  1/4 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L1;ANCHO DE PARCHE MEDIA LUNA;;C;CRITICA;;;7      ;;7  1/8 ;;7  1/4 ;;7  3/8 ;;7  1/2 ;;7  3/4 ;;8      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
