B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;18  7/8 ;;20  3/8 ;;21  7/8 ;;23  3/8 ;;24  7/8 ;;25  7/8 ;;26  7/8 ;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;21      ;;22  1/2 ;;24      ;;25  3/8 ;;26  3/8 ;;27  3/8 ;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;16  5/8 ;;17  3/8 ;;18  1/8 ;;18  7/8 ;;19  5/8 ;;20  3/8 ;;21  1/8 ;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;  3/8 ;  3/8 ;7  3/4 ;;8  1/4 ;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;10  3/4 ;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;6  5/16;;6  9/16;;6  3/4 ;;7      ;;7  1/4 ;;7  1/2 ;;7  3/4 ;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;  5/16;  1/4 ;2  3/8 ;;2  5/8 ;;2  7/8 ;;3  1/8 ;;3  3/8 ;;3  5/8 ;;3  7/8 ;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;29  1/2 ;;30  1/4 ;;31      ;;31  3/4 ;;32  1/2 ;;33  1/4 ;;34      ;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;17;;17  3/4 ;;18  1/2 ;;19  1/4 ;;20      ;;20  3/4 ;;21  1/2 ;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  1/4 ;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/4 ;;10  3/4 ;;11  1/4 ;;11  5/8 ;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;7  1/8 ;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;  5/16;  1/4 ;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;
M;LARGO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;9      ;;9  3/8 ;;9  3/4 ;;10  1/8 ;;10  1/2 ;;10  7/8 ;;11  1/4 ;;;;;;;;;;;;;;
N;BICEP ANCHO SUPERIOR DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;15  5/16;;16  5/16;;17  5/16;;18  1/4 ;;19  1/4 ;;20  1/4 ;;21      ;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICA;;;13  9/16;;14  9/16;;15  1/2 ;;16  1/2 ;;17  9/16;;18  1/4 ;;19      ;;;;;;;;;;;;;;
P;LARGO DE  CUELLO ;;C;CRITICA;;;16      ;;16  3/4 ;;17  3/8 ;;18  1/8 ;;19      ;;19  3/4 ;;20  1/2 ;;;;;;;;;;;;;;
Q; ALTO CUELLO;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  5/8 ;;;;;;;;;;;;;;
R;ANCHO DE TAPETE ;;C;CRITICA;;;12      ;;12  1/4 ;;12  1/2 ;;12  3/4 ;;13      ;;13  1/4 ;;13  1/2 ;;;;;;;;;;;;;;
S;ALTO DE TAPETE ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
