A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;8 11/16;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICAL;;;;;2      ;;2  1/8 ;;2  1/8 ;;2  1/4 ;;2  1/4 ;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBROS ESPALDA;;P;CRITICAL;  3/8 ;  3/8 ;;;18  7/8 ;;19  3/8 ;;19  7/8 ;;20  3/8 ;;20  7/8 ;;;;;;;;;;;;;;;;;;;;;
D;SISA RECTA ESPALDA;;P;CRITICAL;;;;;9  3/4 ;;10  5/16;;11      ;;11 11/16;;12  3/8 ;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;26  3/4 ;;28  3/4 ;;30  3/4 ;;32  3/4 ;;34  3/4 ;;;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON ESPALDA -DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;27  9/16;;29  9/16;;31  9/16;;33  9/16;;35  9/16;;;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO ESPALDA;;P;CRITICAL;  5/16;  1/4 ;;;30  1/4 ;;30  7/8 ;;31  1/2 ;;31  3/4 ;;32      ;;;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE DELANTERO;;P;CRITICAL;;;;;7 15/16;;8  1/16;;8  5/16;;8  7/16;;8 11/16;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBROS DELANTERO;;P;CRITICAL;  3/8 ;  3/8 ;;;18  1/4 ;;18  3/4 ;;19  1/4 ;;19  3/4 ;;20  1/4 ;;;;;;;;;;;;;;;;;;;;;
K;SISA RECTA DELANTERO;;P;CRITICAL;;;;;9  1/4 ;;9 13/16;;10  9/16;;11  1/4 ;;11 15/16;;;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO DELANTERO;;P;CRITICAL;  5/16;  1/4 ;;;29  9/16;;30  3/16;;30 13/16;;31  1/16;;31  5/16;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICAL;  3/8 ;  1/4 ;;;25  3/4 ;;25  7/8 ;;26      ;;26  1/8 ;;26  1/4 ;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BICEPS;;P;CRITICAL;  3/8 ;  3/8 ;;;18 15/16;;20  3/8 ;;21  3/4 ;;23      ;;24  3/8 ;;;;;;;;;;;;;;;;;;;;;
O;ANCHO DE BOCA DE MANGA;;P;CRITICAL;  3/8 ;  3/8 ;;;10  3/16;;10  3/4 ;;11  3/8 ;;11  7/8 ;;12  7/16;;;;;;;;;;;;;;;;;;;;;
P;LARGO DE CUELLO EN BORDE;;C;CRITICAL;;;;;26  7/16;;27      ;;27  3/4 ;;28  7/16;;29  3/16;;;;;;;;;;;;;;;;;;;;;
Q;LARGO DE CUELLO EN EL CENTRO;;C;CRITICAL;;;;;25  3/4 ;;26  3/8 ;;27  1/8 ;;27  3/4 ;;28  7/16;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO ;;C;CRITICAL;;;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE ;;C;CRITICAL;;;;;14  3/4 ;;15  1/8 ;;15  3/8 ;;15  3/4 ;;16      ;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE TAPETE ;;C;CRITICAL;;;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
