A;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;8  5/8 ;;8  7/8 ;;9  1/8 ;;9  3/8 ;;9  5/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
B;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  3/4 ;;3  7/8 ;;4      ;;4  1/8 ;;4  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;;;46  7/8 ;;48  1/8 ;;49  3/16;;50  1/2 ;;52      ;;;;;;;;;;;;;;;;;;;;;;;;;;
D;BOCA DE MANGA DELANTERO;;P;CRITICA;;;4  5/8 ;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
E;ANCHO DE DELANTERO EN SISA;;P;CRITICA;;;44      ;;45      ;;46      ;;47      ;;48  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
F;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;25  3/4 ;;26  1/4 ;;26  3/4 ;;27  1/14;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/16;16      ;;17      ;;18      ;;19      ;;20  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;23  3/4 ;;24  3/8 ;;25      ;;25  1/2 ;;26  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
K;BOCA DE MANGA ESPALDA;;P;CRITICA;;;4  5/8 ;;5      ;;5  1/4 ;;5  1/2 ;;5  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
L;ANCHO DE ESPALDA EN SISA;;P;CRITICA;;;22  1/4 ;;22  3/4 ;;23  5/16;;23  3/4 ;;24  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
M;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25  3/4 ;;26  1/4;;26  3/4 ;;27  1/4 ;;27  3/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/16;81 /4;;8  3/4 ;;9  1/4 ;;9  3/4 ;;10  1/2 ;;;;;;;;;;;;;;;;;;;;;;;;;;
S;LARGO DE TAPETE DE CUELLO;;C;CRITICA;;;13  1/2 ;;14      ;;14  3/8 ;;14  5/8 ;;15      ;;;;;;;;;;;;;;;;;;;;;;;;;;4X2.5X3
T;ALTO DE TAPETE DE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
U;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;263 /8;;27  1/8 ;;27  3/4 ;;28  5/8 ;;29  3/8 ;;;;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE COLLARETA CUELLO;;C;CRITICA;;;1  3/8;;1  3/8;;1  3/8;;1  3/8;;1  3/8;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE PECHO DELANTERO;;P;CRITICA;;;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE PECHO DELANTERO;;P;CRITICA;  3/8 ;  3/16;22  3/4 ;;23  3/4 ;;24   3 /4;;25  3/4 ;;27  1/4 ;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE PECHO ESPALDA;;P;CRITICA;;;12      ;;12  1/2 ;;13      ;;13  1/2 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/16;11  5/8 ;;12  1/8 ;;12  5/8 ;;13  1/8 ;;14      ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
